"datasourceid","outputfrequency","startofperiod","sensor_name","atmPressure24HourMean.raw","atmPressure24HourMean.value","bcAllSources24HourMean.raw","bcAllSources24HourMean.value","bcBiomass24HourMean.raw","bcBiomass24HourMean.value","bcFossilFuel24HourMean.raw","bcFossilFuel24HourMean.value","bcSpectralB24HourMean.raw","bcSpectralB24HourMean.value","bcSpectralG24HourMean.raw","bcSpectralG24HourMean.value","bcSpectralIR24HourMean.raw","bcSpectralIR24HourMean.value","bcSpectralR24HourMean.raw","bcSpectralR24HourMean.value","bcSpectralUV24HourMean.raw","bcSpectralUV24HourMean.value","no2Conc24HourMean.raw","no2Conc24HourMean.value","pm2_5ConcMass24HourMean.raw","pm2_5ConcMass24HourMean.value","pm2_5ConcMass24HourMeanUsEpaAqi.raw","pm2_5ConcMass24HourMeanUsEpaAqi.value","pm2_5ConcNum24HourMean.raw","pm2_5ConcNum24HourMean.value","relHumidAmbient24HourMean.raw","relHumidAmbient24HourMean.value","relHumidInternal24HourMean.raw","relHumidInternal24HourMean.value","temperatureAmbient24HourMean.raw","temperatureAmbient24HourMean.value","temperatureInternal24HourMean.raw","temperatureInternal24HourMean.value","windDirection24HourMean.raw","windDirection24HourMean.value","windSpeed24HourMean.raw","windSpeed24HourMean.value","latitude","longitude","location","record_id"
"DWEIE9311","day","12/10/2025 12:00:00 AM","Bridgeport 2",,,,,,,,,,,,,,,,,,,,,"32.14","12.08","94","56","18.7","18.7",,,"78.91","78.91",,,"2.48","2.48",,,,,"41.8278059","-87.65209362443","POINT (-87.65209362442712 41.8278059)","DWEIE9311_2025-12-10"
"DYSHC8669","day","12/11/2025 12:00:00 AM","Chicago Lawn 2",,,,,,,,,,,,,,,,,,,,,"15.18","9.49","62","52","11.01","11.01",,,"63.05","63.05",,,"-1.93","-1.93",,,,,"41.7772231","-87.68679669713","POINT (-87.6867966971337 41.7772231)","DYSHC8669_2025-12-11"
"DAUPG9028","day","12/12/2025 12:00:00 AM","Portage Park 2",,,,,,,,,,,,,,,,,,,,,"43.3","23.8","120","78","29.61","29.61",,,"66.07","66.07",,,"-2.02","-2.02",,,,,"41.9627009","-87.76268011147","POINT (-87.76268011146504 41.9627009)","DAUPG9028_2025-12-12"
"DKISS7174","day","01/07/2026 12:00:00 AM","West Elsdon 2",,,,,,,,,,,,,,,,,,,"13.75","15.99","45.66","21.56","126","74","32.4","32.4",,,"81.3","81.3",,,"4.69","4.69",,,,,"41.7898683","-87.72002286796","POINT (-87.72002286796209 41.7898683)","DKISS7174_2026-01-07"
"DKIJX6114","day","09/09/2025 12:00:00 AM","Lincoln Square 1",,,,,,,,,,,,,,,,,,,,,"5.21","6","29","33","7.38","7.38",,,"47.57","47.57",,,"19.02","19.02",,,,,"41.9756734","-87.69009047047","POINT (-87.69009047047274 41.975673400000005)","DKIJX6114_2025-09-09"
"DIZEF3591","day","12/20/2025 12:00:00 AM","West Pullman 3",,,,,,,,,,,,,,,,,,,,,"6.51","5.27","36","29","5.07","5.07",,,"63.62","63.62",,,"0.36","0.36",,,,,"41.67596525","-87.62018065","POINT (-87.62018065 41.67596525)","DIZEF3591_2025-12-20"
"DJJVG1917","day","09/14/2025 12:00:00 AM","Edgewater 1",,,,,,,,,,,,,,,,,,,"10.68","10.16","30.41","16.57","91","65","42.74","42.74",,,"74.02","74.02",,,"22.61","22.61",,,,,"41.9893028","-87.67229309826","POINT (-87.6722930982605 41.989302800000004)","DJJVG1917_2025-09-14"
"DDGFW8206","day","12/21/2025 12:00:00 AM","Englewood 3",,,,,,,,,,,,,,,,,,,,,"5.24","5.86","29","32","4.28","4.28",,,"50.41","50.41",,,"-1.13","-1.13",,,,,"41.77689575","-87.63594989239","POINT (-87.635949892389 41.77689575)","DDGFW8206_2025-12-21"
"DHZTI7858","day","01/19/2026 12:00:00 AM","Pullman 1",,,,,,,,,,,,,,,,,,,,,"6.85","4.96","38","27","3.48","3.48",,,"66.87","66.87",,,"-11.06","-11.06",,,,,"41.71416735","-87.60386913021","POINT (-87.60386913020682 41.71416735)","DHZTI7858_2026-01-19"
"DGEPF8361","day","01/14/2026 12:00:00 AM","Washington HS Collocation 3",,,,,,,,,,,,,,,,,,,,,"4.49","4.31","24","24","4.74","4.74",,,"67.07","67.07",,,"1.66","1.66",,,,,"41.687495","-87.538083","POINT (-87.538083 41.687495)","DGEPF8361_2026-01-14"
"DZBHR9476","day","12/13/2025 12:00:00 AM","Near South Side 2",,,,,,,,,,,,,,,,,,,,,"31.96","14.1","93","60","11.45","11.45",,,"61.37","61.37",,,"-7.04","-7.04",,,,,"41.85326985","-87.61952604024","POINT (-87.61952604024003 41.853269850000004)","DZBHR9476_2025-12-13"
